Id;SplBatch;SplMass;StdStig;Origin;Group;Squalene;Unknown1;Cholest-2-ene;Unknown2;Cholest-3,5-diene;Ergosta-5,22-dien-3-ol;Unknown 3;Stigmasta-3,5-diene;C28H42O;Cholesterol;Cholestanol;Unknown 4;14a-methylcholest-9(11)-en-3b-ol;Lathosterol;Episterol;Stigmasterol;4a,14a-dimethylcholest-9(11)-en-3b-ol;Dihydroparkeol;Avenesterol;Unknown 5
HF_M04_Fr2;9;102.1;10;BornW;Cap&Caged;381447.48;119516.85;755229.62;539146.37;1834730.08;530572.45;813441.64;1750047.25;147716.36;225621.02;122875.02;215733.08;188212.5;1092907.49;162683.99;2375303.45;95268.23;80822.62;460859.9;62590.68
HF_M05_Fr2;9;101.3;10;BornW;Cap&Caged;278195.07;203368.62;1839381.85;821974.62;3616018.94;889533.64;488535.03;2955416.18;245740.22;248557.02;255630.96;185619.42;111812.67;923275.86;120985.75;1973528.28;62829.4;104721.2;323515.48;33554.02
HF_M06_Fr2;9;103;10;BornW;Cap&Caged;198713.38;213972.29;2045641.86;808512.21;4013040.06;1042611.66;500619.34;3538321.35;246337;329472.02;190593.31;157691.86;107300.31;856599.6;195674.77;2133225.3;79075.81;100690.54;407369.37;38194.22
HF_J01_BeM;10;16.4;10;BornCap;BornCap;43667.75;24205;139450.37;47585.13;144137.3;313769.4;106221.98;104023.78;16511.22;61693.43;47517.09;26025.4;67770.49;125279.85;51135.38;1414828.49;7497.55;91601.65;68237.2;10455.18
HF_J03_BeM;10;18.3;10;BornCap;BornCap;56390.36;63150.85;187962.78;119270.14;341013.89;548621.14;157370.69;255490.37;25222.74;130205.26;72236.8;70819.07;120823.31;261293.94;129285.34;2239779.43;15265.1;104422.4;182604.36;26257.89
HF_J04_BeM;10;5.9;10;BornCap;BornCap;21952.37;11993.67;16597.76;8301.29;15452.09;124681.07;11029.61;14311.51;8408.73;29869.79;19513.82;13000.99;34216.75;65718.84;26260.36;985027.65;6891.28;22523.75;28268.9;5740.01
HF_J05_BeM;10;28.1;10;BornCap;BornCap;54373.84;80447.65;332560.42;244917.18;626310.13;662872.66;282495.42;415487.87;41978.94;90098.18;64532.72;66794.75;119640.59;272030.23;93419.25;1536137.19;16287.08;88718.6;200632.73;26385.86
HF_U01_AqB;11;101.5;10;BornCap;BornCap;401444.08;180709.36;888316.47;475834.08;1827139.89;273514.82;585687.24;706057.59;8369739.98;203704.27;74530.39;231345.18;508992;763704.55;179728.06;2025197.09;60602.3;206426.6;303316.52;889788.8
HF_U02_AqB;11;48.3;10;BornCap;BornCap;178291.5;50126.36;248130.21;150152.69;484591.15;176748.99;198492.71;221415.53;2356568.25;258176.72;65115.18;111616.62;140337.95;382566.12;78196.43;1524742.26;38379.96;2350.57;107331.66;399068.25
HF_U04_AqB;11;51.9;10;BornCap;BornCap;392620.52;30663.56;215784.17;96091.26;396980.14;80031.6;101511.5;113540.05;1709223.84;84001.78;29488.84;42809.57;151261.99;233899.38;49075.48;1452156.03;86563.61;68870.67;63351.8;139958.66
HF_U05_AqB;11;100.3;10;BornCap;BornCap;263688.97;141351.93;702108.69;363851.18;1257204.5;353797.76;467544.54;419357.12;6931575.98;210070.86;76819.95;168382.1;305244.85;515071.75;161201.6;2469934.99;44100.95;77336;332753.36;545009.03
HF_U06_AqB;11;100.6;10;BornCap;BornCap;153174.98;49367.6;376496.15;185821.95;680243.34;160965.15;268400.15;401954.44;4093670.81;134085.26;113956.51;252465.46;417781.84;739050.81;179051.57;1367458.75;81520.36;90391.63;295911.85;1241577.69
HF_U01_Plo;12;100.9;10;BornCap;BornCap;383558.5;64487.45;713910.35;364920.99;1616139.33;177238.58;283327.82;794428.63;2620701.9;118853.98;118989.97;53407.1;227462.6;386179.76;44281.71;1165000.03;99861.33;27625.1;160361.78;302860.77
HF_U02_Plo;12;100.2;10;BornCap;BornCap;623128.95;201808.7;1517667.02;1223588.07;3727817.18;616476.81;623974.78;2849498.41;1959538.89;457666.73;405633.26;131656.79;593596.42;1167555.43;223438.21;2890664.17;187196.67;254039.95;1040133.92;500434.66
HF_U04_Plo;12;99.9;10;BornCap;BornCap;339996.45;420794.17;2643955.87;2007342.12;6947827.96;763936.64;1941912.75;5224321.81;3066416.2;592614.01;597824.34;252639.72;545150.63;1787910.52;396753.07;3569574.54;267779.5;556012.61;1997772.77;623557.5
HF_U05_Plo;12;109.5;10;BornCap;BornCap;215453.87;207992.52;1807028.03;1342341.58;4172219.46;606762.91;291036.08;1965896.31;1543198.32;328099.16;149032.43;29818.8;304705.91;1168455.06;209591.79;8323071.05;223105.99;299380.44;358327.63;27629.86
HF_U06_Plo;12;102.3;10;BornCap;BornCap;185882.66;321446.55;2771887.35;1693757.28;6753503.95;1298990.55;1671268.13;5049594.81;2200527.3;309915.63;487646.82;150303.28;216439.02;1094916.8;210061.33;1651713.73;159925.87;318050.62;974525.24;325288.44
HF_U01_Can;13;100.3;10;BornCap;BornCap;268017.92;266661.38;867969.87;708466.16;1837769;1065395.41;435510.22;817284.18;2293798.72;193853.51;405271.64;84762.79;253452.35;1160871.75;439184.14;10771974.83;214072.55;169817.82;404159.89;24640.91
HF_U03_Can;13;99;10;BornCap;BornCap;151101.03;563155.5;3156803.75;1999650.48;7692666.01;3440248.22;2097757.81;2944442.97;16559513.42;349197.61;304156.87;300118.09;327606.52;902731.05;396954.15;2328950.37;126919.44;154216.62;515360.72;877050.03
HF_U04_Can;13;100.4;10;BornCap;BornCap;276248.3;142149.32;558045.79;703015.81;1228452.07;680754.27;331969.91;499107.6;1564338.55;165948.72;200820.13;296328.77;269948.36;853333.22;386589.98;1352074.69;114860.51;33624.6;325458.04;513287.12
